"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gas6",0,-6.81196760818738,0.036,0.928,0
"Serpinb6a",0,-5.21605703653873,0.084,0.909,0
"Igf1",0,-4.96723562619471,0.057,0.874,0
"Cbr2",0,-5.61453143760171,0.061,0.856,0
"Folr2",0,-4.37458004788372,0.193,0.965,0
"Trf",0,-4.037133573016,0.186,0.926,0
"Ednrb",0,-6.77050459751492,0.018,0.722,0
"F13a1",0,-4.00125264349437,0.275,0.978,0
"Fcgrt",0,-4.47496655971246,0.271,0.973,0
"Clec10a",0,-4.41128841037481,0.19,0.878,0
"Timp2",0,-3.95568614028681,0.37,0.991,0
"Pf4",0,-2.7305851394645,0.38,0.998,0
"Mrc1",0,-3.08901887730996,0.337,0.951,0
"Sepp1",0,-4.56138103510542,0.677,1,0
"Cd52",0,2.43822368064297,0.995,0.697,0
"Apoe",0,-3.75774870749011,0.78,0.998,0
"Wfdc17",0,-3.14758552198641,0.93,1,0
"Itm2b",0,-1.66865079660723,0.999,1,0
"Pltp",3.26395725209206e-307,-3.20046581449463,0.277,0.939,5.61074251634625e-303
"Serinc3",8.35993468791878e-299,-2.54400903815946,0.488,0.961,1.43707277285324e-294
"Igfbp4",5.00408627312562e-287,-5.23644627229657,0.053,0.732,8.60202430350294e-283
"Glul",7.74432364817333e-283,-3.27371697281264,0.231,0.874,1.33124923512099e-278
"Fxyd5",1.58433817169769e-271,1.86985818027999,0.995,0.807,2.72347731714833e-267
"Npl",2.81974645687529e-270,-6.53017278244127,0.017,0.655,4.84714415936863e-266
"C1qc",2.99937744255295e-268,-1.65499585380489,0.74,0.999,5.15592982374852e-264
"Hist1h2bc",6.62139862147634e-268,-3.91144147822026,0.098,0.765,1.13821842303178e-263
"Slamf8",1.29923087374505e-266,4.54410217825709,0.805,0.098,2.23337787196774e-262
"Ninj1",4.45578463842515e-266,-2.00792370500289,0.775,0.988,7.65949379345283e-262
"Pmp22",5.97471075852835e-265,-4.52127918091611,0.048,0.7,1.02705277939102e-260
"mt-Co1",1.35384529722315e-260,-1.26485610702308,0.997,0.998,2.32726006592659e-256
"Ccl8",2.09487165041782e-258,-2.89025476835368,0.577,0.966,3.60108436706824e-254
"Psmb8",1.1174069408349e-253,1.66759524385244,0.99,0.918,1.92082253129519e-249
"Cd74",4.9852729754033e-249,2.41645962300974,0.983,0.692,8.56968424471828e-245
"Tmsb10",6.8941269514744e-244,2.14488124076744,0.981,0.717,1.18510042295845e-239
"Ms4a4c",8.98715323226079e-244,3.7906581305589,0.842,0.213,1.54489164062563e-239
"Stard8",1.87499750394653e-241,-4.80782698625733,0.041,0.645,3.22312070928408e-237
"C4b",1.55539662641879e-240,-4.60504532028969,0.068,0.675,2.6737268008139e-236
"Lgals3",9.01100335638167e-238,2.06850926683445,0.997,0.976,1.54899147696201e-233
"Cela1",1.59201954097471e-236,-5.03856899400946,0.037,0.631,2.73668159093553e-232
"Rnase4",3.21568703260563e-232,-3.33268120813013,0.139,0.755,5.52776600904907e-228
"Psme2",1.67652381562747e-231,1.86967707858111,0.966,0.738,2.88194443906362e-227
"Wwp1",1.58032780702248e-230,-3.35606488124462,0.12,0.731,2.71658350027164e-226
"Ltc4s",1.10093970236735e-226,-6.33675029826636,0.018,0.578,1.89251534836947e-222
"Pkm",1.86732844811916e-226,1.74752191600726,0.987,0.862,3.20993760231684e-222
"H2-Ab1",4.11941392080054e-225,2.48598467066381,0.964,0.647,7.08127252985613e-221
"Mgst1",2.96965262094949e-224,-2.87999130074619,0.182,0.788,5.10483285541217e-220
"C1qa",3.71019493753887e-224,-1.600296300796,0.697,0.998,6.37782509762931e-220
"S100a11",7.91682643067903e-224,2.51557950602604,0.914,0.5,1.36090246343372e-219
"Ctsd",4.50269709752408e-222,-1.52237854162094,0.832,0.995,7.7401363106439e-218
"H2-DMa",6.16077747448934e-222,2.25241575765577,0.938,0.537,1.05903764786472e-217
"Pfn1",1.42371364435018e-221,0.916714604476102,0.999,1,2.44736375463795e-217
"Tns1",1.26351971423132e-220,-4.53592071056213,0.044,0.614,2.17199038876364e-216
"Lyve1",7.8549057936726e-219,-8.34768541566499,0.005,0.537,1.35025830593232e-214
"mt-Atp6",5.67390717795421e-218,-1.19206359181874,0.997,1,9.75344643890329e-214
"Smagp",1.22466826310451e-215,-3.3909432368158,0.109,0.701,2.10520474427665e-211
"Zbp1",3.12184941210771e-214,2.26642160871364,0.932,0.531,5.36645913941315e-210
"Abca1",1.91863185856024e-213,-3.16030430192276,0.114,0.709,3.29812816486505e-209
"Arpc2",3.25127907747398e-213,0.971594026494297,0.999,0.988,5.58894873417777e-209
"Fcna",5.66163176128593e-213,-7.09180422825859,0.009,0.535,9.73234499765052e-209
"Cd63",1.2589508320606e-211,-1.90805578496308,0.486,0.953,2.16413648031218e-207
"H2-DMb1",4.1287541666242e-211,2.71781522442663,0.891,0.469,7.097328412427e-207
"Fxyd2",7.02081838290755e-210,-6.13051690742318,0.02,0.548,1.20687868002181e-205
